Firstname,Lastname,Province,Zone,Area,Parish,Startdate
James,Smith,Alabama,,,,
John,Johnson,Alabama,Zone1,,,
Robert,Williams,Alabama,Zone1,Area1,,
Michael,Jones,Alabama,Zone1,Area1,Parish1,"Dec 10,2017"
William,Brown,Alabama,Zone1,Area2,Parish1,"Dec 10,2017"
David,Davis,Alabama,Zone2,,,
Richard,Miller,Alabama,Zone2,Area1,Parish1,"Dec 10,2017"
Joseph,Wilson,Alabama,Zone2,Area2,Parish1,"Dec 10,2017"
Thomas,Moore,Arizona,,,,
Charles,Taylor,Arizona,Zone1,,,
Christopher,Anderson,Arizona,Zone2,Area1,Parish1,"Dec 10,2017"
Daniel,Thomas,Arizona,Zone2,Area2,Parish1,"Dec 10,2017"
Matthew,Jackson,Arizona,Zone3,,,
Anthony,White,Arizona,Zone3,Area1,,
Donald,Harris,Arizona,Zone3,Area2,,
Mark,Martin,Arizona,Zone3,Area2,Parish1,"Dec 10,2017"
Paul,Thompson,Arizona,Zone4,Area1,Parish1,"Dec 10,2017"
Steven,Garcia,Delaware,,,,
Andrew,Martinez,Delaware,Zone1,,,
Kenneth,Robinson,Delaware,Zone1,Area1,,
George,Clark,Delaware,Zone2,Area1,,
Joshua,   Rodriguez,Delaware,Zone2,Area2,,
Kevin,Lewis,Delaware,Zone2,Area2,Parish1,"Dec 10,2017"
Brian,Lee,Georgia,,,,
Edward,Walker,Georgia,Zone1,Area1,,
Ronald,Hall,Georgia,Zone1,Area2,Parish1,"Dec 10,2017"
Timothy,Allen,Georgia,Zone1,Area1,Parish2,"Dec 10,2017"
Jason,Young,Georgia,Zone2,Area2,,
Jeffrey,Hernandez,Georgia,Zone2,Area2,Parish2,"Dec 10,2017"
Ryan,King,Georgia,Zone2,,,
Gary,Wright,Georgia,Zone2,Area2,Parish4,"Dec 10,2017"
Jacob,Lopez,Georgia,Zone3,Area1,,
Nicholas,Hill,Georgia,Zone3,Area2,Parish6,"Dec 10,2017"
Eric,Scott,Indiana,,,,
Stephen,Green,Indiana,Zone2,Area1,Parish8,"Dec 10,2017"
Jonathan,Adams,Indiana,Zone2,Area2,,
Larry,Baker,Indiana,Zone2,Area1,Parish10,"Dec 10,2017"
Justin,Gonzalez,Indiana,Zone2,Area2,Parish11,"Dec 10,2017"
Scott,Nelson,Indiana,Zone3,Area2,Parish12,"Dec 10,2017"
Frank,Carter,Indiana,Zone3,Area1,,
